NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,7,11,11,23,0.1006515,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,7,11,11,23,0.2010536,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,7,11,11,23,0.3013991,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,7,11,11,23,0.4019015,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,7,11,11,23,0.5005772,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,7,11,11,23,0.6018768,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,7,11,11,23,0.7007982,0
0,1,2,1,0,0.407555,0.3085001,8.307555,15,3,3,27,27,27,1,2,7,11,11,23,0.8006762,1
0,1,2,2,0,0.9075544,0.3085001,0.3085001,15,3,3,27,27,27,1,2,7,11,11,23,0.9014186,1
0,1,2,2,0,1.407554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,7,11,11,23,1.000763,1
0,1,2,2,0,1.907554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,7,11,11,23,1.100064,1
0,1,2,2,0,2.407553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,7,11,11,23,1.200239,1
0,1,2,2,0,2.907553,0.3085,0.3085001,15,3,3,27,27,27,1,2,7,11,11,23,1.300516,1
0,1,2,2,0,3.407552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,7,11,11,23,1.400434,1
0,1,2,2,0,3.907552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,7,11,11,23,1.500356,1
0,1,2,2,0,4.407551,8.3085,0.3085001,15,3,3,27,27,27,1,2,7,11,11,23,1.602227,1
1,1,2,1,19.70756,4.90755,0.3085001,0.3075551,15,3,3,27,27,27,1,2,7,11,11,23,1.700642,1
1,1,2,1,19.20756,5.40755,0.3085001,0.3075551,15,3,3,27,27,27,1,2,7,11,11,23,1.80135,1
1,1,2,1,18.70756,5.907552,0.3085,0.3075551,15,3,3,27,27,27,1,2,7,11,11,23,1.901584,1
1,1,2,1,18.20756,6.407555,0.3085001,0.3075551,15,3,3,27,27,27,1,2,7,11,11,23,2.000225,1
1,1,2,1,17.70755,6.907556,0.3085001,0.3075551,15,3,3,26.5,27.3,27,1,2,7,11,11,23,2.100213,1
1,1,2,1,17.20755,7.407558,0.3085001,0.3075551,15,3,3,26,27.3,27,1,2,7,11,11,23,2.201189,1
1,1,2,1,16.70755,7.907561,0.3085001,0.3075551,15,3,3,25.49999,27.3,27,1,2,7,11,11,23,2.30052,1
1,1,2,2,16.20755,8.407562,0.3085001,0.3085001,15,3,3,24.99999,27.3,27,1,2,7,11,11,23,2.400292,1
1,1,2,2,15.70755,8.907564,0.3085001,0.3085001,15,3,3,24.49999,27.3,27,1,2,7,11,11,23,2.501355,1
1,1,2,2,15.20754,9.407566,0.3085001,0.3085001,15,3,3,23.99999,27.3,27,1,2,7,11,11,23,2.600396,1
1,1,2,2,14.70754,9.907568,0.3085001,0.3085001,15,3,3,23.49999,27.3,27,1,2,7,11,11,23,2.702123,1
1,1,2,1,14.20754,10.40757,0.3085001,8.307555,15,3,3,22.99998,27.3,27,1,2,7,11,11,23,2.80157,1
1,1,2,2,13.70754,10.90757,0.3085001,0.3085001,15,3,3,22.49998,27.3,27,1,2,7,11,11,23,2.900791,1
1,1,2,2,13.20754,11.40757,0.3085001,0.3085001,15,3,3,21.99998,27.3,27,1,2,7,11,11,23,3.001324,1
1,1,2,2,12.70753,11.90758,0.3085001,0.3085001,15,3,3,21.49998,27.3,27,1,2,7,11,11,23,3.100905,1
1,1,2,2,12.20753,12.40758,0.3085001,0.3085001,15,3,3,20.99998,27.3,27,1,2,7,11,11,23,3.201127,1
1,1,2,2,11.70753,12.90758,0.3085001,0.3085001,15,3,3,20.49998,27.3,27,1,2,7,11,11,23,3.300412,1
1,1,2,2,11.20753,13.40758,0.3085001,0.3085001,15,3,3,19.99997,27.3,27,1,2,7,11,11,23,3.400633,1
1,1,2,2,10.70753,13.90758,0.3085001,0.3085001,15,3,3,19.49997,27.3,27,1,2,7,11,11,23,3.50078,1
1,1,2,2,10.70753,13.90758,0.3085001,0.3085001,15,3,3,18.99997,27.3,27,1,2,7,11,11,23,3.60245,4
