NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,23,5,15,27,0.1012684,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,23,5,15,27,0.2014392,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,23,5,15,27,0.3010171,0
0,1,2,1,0,0.6075547,0.3085001,8.307555,15,3,3,27,27,27,1,2,23,5,15,27,0.4009475,1
0,1,2,2,0,1.107554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,5,15,27,0.5006663,1
0,1,2,2,0,1.607554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,5,15,27,0.6017608,1
0,1,2,2,0,2.107553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,5,15,27,0.7012486,1
0,1,2,2,0,2.607553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,5,15,27,0.8000622,1
0,1,2,2,0,3.107553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,5,15,27,0.9009541,1
0,1,2,2,0,3.607552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,5,15,27,1.001693,1
0,1,2,2,0,4.107552,8.3085,0.3085001,15,3,3,27,27,27,1,2,23,5,15,27,1.101547,1
0,1,2,2,0,4.607551,8.3085,0.3085001,15,3,3,27,27,27,1,2,23,5,15,27,1.200107,1
1,1,2,1,19.50756,5.10755,0.3085001,0.3075551,15,3,3,27,27,27,1,2,23,5,15,27,1.301643,1
1,1,2,1,19.00756,5.607551,0.3085001,0.3075551,15,3,3,27,27,27,1,2,23,5,15,27,1.401571,1
1,1,2,1,18.50756,6.107553,0.3085001,0.3075551,15,3,3,27,27,27,1,2,23,5,15,27,1.501825,1
1,1,2,1,18.00756,6.607555,0.3085001,0.3075551,15,3,3,27,27,27,1,2,23,5,15,27,1.602185,1
1,1,2,1,17.50755,7.107557,0.3085001,0.3075551,15,3,3,27,27,27,1,2,23,5,15,27,1.702088,1
1,1,2,1,17.00755,7.607559,0.3085001,0.3075551,15,3,3,27,27,27,1,2,23,5,15,27,1.801751,1
1,1,2,2,16.50755,8.107561,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,5,15,27,1.901701,1
1,1,2,2,16.00755,8.607563,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,5,15,27,2.000007,1
1,1,2,2,15.50755,9.107565,0.3085001,0.3085001,15,3,3,27,27.3,27,1,2,23,5,15,27,2.102393,1
1,1,2,2,15.00754,9.607568,0.3085001,0.3085001,15,3,3,27,27.3,27,1,2,23,5,15,27,2.201046,1
1,1,2,1,14.50754,10.10757,0.3085001,8.307555,15,3,3,27,27.3,27,1,2,23,5,15,27,2.30159,1
1,1,2,1,14.00754,10.60757,0.3085001,8.307555,15,3,3,27,27.3,27,1,2,23,5,15,27,2.401826,1
1,1,2,2,13.50754,11.10757,0.3085001,0.3085001,15,3,3,27,27.3,27,1,2,23,5,15,27,2.501398,1
1,1,2,2,13.00754,11.60757,0.3085001,0.3085001,15,3,3,27,27.3,27,1,2,23,5,15,27,2.600639,1
1,1,2,2,12.50753,12.10758,0.3085001,0.3085001,15,3,3,27,27.3,27,1,2,23,5,15,27,2.702495,1
1,1,2,2,12.00753,12.60758,0.3085001,0.3085001,15,3,3,27,27.3,27,1,2,23,5,15,27,2.800348,1
