NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,11,17,23,23,0.101645,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,11,17,23,23,0.2015194,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,11,17,23,23,0.3006002,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,11,17,23,23,0.4019673,1
0,1,2,2,0,0.8075545,0.3085001,0.3085001,15,3,3,27,27,27,1,2,11,17,23,23,0.5014943,1
0,1,2,2,0,1.307554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,11,17,23,23,0.6007423,1
0,1,2,2,0,1.807554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,11,17,23,23,0.7014361,1
0,1,2,2,0,2.307553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,11,17,23,23,0.8012381,1
0,1,2,2,0,2.807553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,11,17,23,23,0.9019729,1
0,1,2,2,0,3.307552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,11,17,23,23,1.001744,1
0,1,2,2,0,3.807552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,11,17,23,23,1.100452,1
0,1,2,2,0,4.307551,8.3085,0.3085001,15,3,3,27,27,27,1,2,11,17,23,23,1.200899,1
1,1,2,1,19.80756,4.807551,0.3085001,0.3075551,15,3,3,27,27,27,1,2,11,17,23,23,1.300547,1
1,1,2,1,19.30756,5.30755,0.3085001,0.3075551,15,3,3,27,27,27,1,2,11,17,23,23,1.400528,1
1,1,2,1,18.80756,5.807552,0.3085001,0.3075551,15,3,3,27,27,27,1,2,11,17,23,23,1.500092,1
1,1,2,1,18.30756,6.307554,0.3085001,0.3075551,15,3,3,27,27,27,1,2,11,17,23,23,1.602173,1
1,1,2,1,17.80755,6.807556,0.3085001,0.3075551,15,3,3,27,27,27,1,2,11,17,23,23,1.70019,1
1,1,2,1,17.30755,7.307558,0.3085001,0.3075551,15,3,3,27,27,27,1,2,11,17,23,23,1.802133,1
1,1,2,1,16.80755,7.80756,0.3085001,0.3075551,15,3,3,27,27,27,1,2,11,17,23,23,1.900525,1
1,1,2,2,16.30755,8.307562,0.3085001,0.3085001,15,3,3,27,27,27,1,2,11,17,23,23,2.000561,1
1,1,2,2,15.80755,8.807564,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,11,17,23,23,2.10161,1
1,1,2,2,15.30754,9.307566,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,11,17,23,23,2.201814,1
1,1,2,2,14.80754,9.807568,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,11,17,23,23,2.300756,1
1,1,2,1,14.30754,10.30757,0.3085001,8.307554,15,3,3,27.3,27.3,27,1,2,11,17,23,23,2.400878,1
1,1,2,2,13.80754,10.80757,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,11,17,23,23,2.500503,1
1,1,2,2,13.30754,11.30757,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,11,17,23,23,2.600766,1
1,1,2,2,12.80754,11.80758,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,11,17,23,23,2.700325,1
1,1,2,2,12.30753,12.30758,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,11,17,23,23,2.800575,1
1,1,2,2,11.80753,12.80758,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,11,17,23,23,2.900988,1
1,1,2,2,11.20753,13.40758,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,100,100,23,23,3.007253,1
1,1,2,2,10.80753,13.80758,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,100,100,23,23,3.101232,1
1,1,1,1,10.30753,14.30758,2.307555,8.307555,15,3,3,27.3,27.3,27,1,2,100,100,23,23,3.201997,1
1,1,2,2,9.807525,14.80759,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,100,100,23,23,3.302829,1
1,1,2,2,9.307523,15.30759,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,100,100,23,23,3.402296,1
1,1,2,2,8.807521,15.80759,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,100,100,23,23,3.503757,1
1,1,2,2,8.307519,16.30759,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,100,100,23,23,3.60143,1
1,1,2,2,7.807517,16.80759,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,100,100,23,23,3.702452,1
1,1,2,2,7.307515,17.30759,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,100,100,23,23,3.801995,1
1,1,2,2,6.807513,17.8076,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,100,100,23,23,3.901995,1
1,1,2,2,6.307511,18.3076,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,100,100,23,23,4.000956,1
1,1,2,2,5.807509,18.8076,0.3085001,0.3085001,15,3,2.7,27.3,27.3,26.5,1,2,100,100,23,23,4.101134,1
1,1,2,2,5.307507,19.3076,0.3085001,0.3085001,15,3,2.7,27.3,27.3,26,1,2,100,100,23,23,4.201807,1
1,1,2,2,4.807505,19.80761,0.3085001,0.3085001,15,3,2.7,27.3,27.3,25.49999,1,2,100,100,23,23,4.300072,1
1,0,2,2,4.307503,0,0.3085001,0.3085001,15,3,2.7,27.3,27.3,24.99999,1,2,100,100,23,23,4.402219,1
1,0,2,2,3.807502,0,0.3085001,0.3085001,15,3,2.7,27.3,27.3,24.49999,1,2,100,100,23,23,4.501083,1
1,0,2,2,3.3075,0,0.3085001,0.3085001,15,3,2.7,27.3,27.3,23.99999,1,2,100,100,23,23,4.600109,1
1,0,2,2,2.807498,0,0.3085001,0.3085001,15,3,2.7,27.3,27.3,23.49999,1,2,100,100,23,23,4.700355,1
1,0,2,2,2.307496,0,0.3085001,0.3085001,15,3,2.7,27.3,27.3,22.99998,1,2,100,100,23,23,4.80112,1
1,0,2,2,1.807494,0,0.3085001,0.3085001,15,3,2.7,27.3,27.3,22.49998,1,2,100,100,23,23,4.901537,1
1,0,2,2,1.307492,0,0.3085001,0.3085001,15,3,2.7,27.3,27.3,21.99998,1,2,100,100,23,23,5.002749,1
1,0,2,2,0.8074902,0,0.3085001,0.3085001,15,3,2.7,27.3,27.3,21.49998,1,2,100,100,23,23,5.102136,1
1,0,1,6,0.3074883,0,16.30756,6.957749,15,3,2.7,27.3,27.3,20.99998,1,2,100,100,23,23,5.200405,1
