NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,27,21,27,0.1009076,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,27,21,27,0.2012093,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,27,21,27,0.3000303,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,27,21,27,0.4011862,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,27,21,27,0.5007064,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,27,21,27,0.6004748,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,27,21,27,0.7003321,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,27,21,27,0.8004768,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,27,21,27,0.9013882,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,27,21,27,1.001045,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,27,21,27,1.101231,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,27,21,27,1.200428,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,27,21,27,1.300761,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,27,21,27,1.400701,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,27,21,27,1.502005,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,27,21,27,1.601859,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,27,21,27,1.701523,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,27,21,27,1.801002,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,27,21,27,1.900712,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,23,27,21,27,2.001042,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,26.5,27,2.7,27,1,2,23,27,21,27,2.10136,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,26,27,2.7,27,1,2,23,27,21,27,2.200593,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,25.49999,27,2.7,27,1,2,23,27,21,27,2.300249,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,24.99999,27,2.7,27,1,2,23,27,21,27,2.40009,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,24.49999,27,2.7,27,1,2,23,27,21,27,2.5014,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,23.99999,27,2.7,27,1,2,100,100,21,27,2.601866,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,23.49999,27,2.7,27,1,2,100,100,21,27,2.700393,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,22.99998,27,2.7,27,1,2,100,100,21,27,2.800156,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,22.49998,27,2.7,27,1,2,100,100,21,27,2.901271,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,21.99998,27,2.7,27,1,2,100,100,21,27,3.001954,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,21.49998,27,2.7,27,1,2,100,100,21,27,3.100593,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,20.99998,27,2.7,27,1,2,100,100,21,27,3.201079,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,20.49998,27,2.7,27,1,2,100,100,21,27,3.301097,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,19.99997,27,2.7,27,1,2,100,100,21,27,3.401546,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,19.49997,27,2.7,27,1,2,100,100,21,27,3.501679,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,18.99997,27,2.7,27,1,2,100,100,21,27,3.600783,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,18.49997,27,2.7,27,1,2,100,100,21,27,3.701208,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,17.99997,27,2.7,27,1,2,100,100,21,27,3.800289,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,17.49996,27,2.7,27,1,2,100,100,21,27,3.900154,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,16.99996,27,2.7,27,1,2,100,100,21,27,4.001438,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,16.99996,26.7,2.7,27,1,2,100,100,21,27,4.100029,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,16.99996,26.7,2.7,27,1,2,100,100,21,27,4.200891,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,16.99996,26.7,2.7,27,1,2,100,100,21,27,4.300764,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,16.99996,26.7,2.7,27,1,2,100,100,21,27,4.40148,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,16.99996,26.7,2.7,27,1,2,100,100,21,27,4.501897,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,16.99996,26.7,2.7,27,1,2,100,100,21,27,4.601006,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,16.99996,26.7,2.7,27,1,2,100,100,21,27,4.701448,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,16.99996,26.7,2.7,27,1,2,100,100,21,27,4.800125,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,16.99996,26.7,2.7,27,1,2,100,100,21,27,4.900233,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,16.99996,26.7,2.7,27,1,2,100,100,21,27,5.000908,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,16.99996,26.7,2.7,27,1,2,100,100,21,27,5.101093,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,16.99996,26.7,2.7,27,1,2,100,100,21,27,5.200441,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,16.99996,26.7,2.7,27,1,2,100,100,21,27,5.301949,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,16.99996,26.7,2.7,27,1,2,100,100,21,27,5.40059,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,16.99996,26.7,2.7,27,1,2,100,100,21,27,5.50045,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,16.99996,26.3,2.7,27,1,2,100,100,21,27,5.600563,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,16.99996,25.8,2.7,27,1,2,100,100,21,27,5.701362,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,16.99996,25.7,2.7,27,1,2,100,100,21,27,5.801248,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,16.99996,25.7,2.7,27,1,2,100,100,21,27,5.902061,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,16.99996,25.7,2.7,27,1,2,100,100,21,27,6.001715,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,17.49996,25.7,2.7,27,1,2,100,100,21,27,6.100356,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,17.99997,25.7,2.7,27,1,2,100,100,21,27,6.201435,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,18.49997,25.7,2.7,27,1,2,100,100,21,27,6.300261,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,18.99997,25.7,2.7,27,1,2,100,100,21,27,6.40118,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,19.29997,25.7,2.7,27,1,2,100,100,21,27,6.502143,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,19.29997,25.7,2.7,27,1,2,100,100,21,27,6.601368,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,19.29997,25.7,2.7,27,1,2,100,100,21,27,6.701638,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,19.29997,25.7,2.7,27,1,2,100,100,21,27,6.800087,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,19.29997,25.7,2.7,27,1,2,100,100,21,27,6.901511,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,19.29997,25.7,2.7,27,1,2,100,100,21,27,7.001269,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,19.69997,25.7,2.7,27,1,2,100,100,21,27,7.100008,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,20.19997,25.7,2.7,27,1,2,100,100,21,27,7.201496,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,20.29997,25.7,2.7,27,1,2,100,100,21,27,7.300662,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,20.29997,25.7,2.7,27,1,2,100,100,21,27,7.401482,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,20.29997,25.7,2.7,27,1,2,100,100,21,27,7.501172,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,20.29997,25.7,2.7,27,1,2,100,100,21,27,7.601386,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,20.29997,25.7,2.7,27,1,2,100,100,21,27,7.702892,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,20.29997,25.7,2.7,27,1,2,100,100,21,27,7.801414,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,20.29997,25.7,2.7,27,1,2,100,100,21,27,7.901923,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,20.29997,25.7,2.7,27,1,2,100,100,21,27,8.001186,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,19.79997,25.7,2.7,27,1,2,100,100,21,27,8.100799,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,19.29997,25.7,2.7,27,1,2,100,100,21,27,8.201335,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,18.79997,25.7,2.7,27,1,2,100,100,21,27,8.300611,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,18.29997,25.7,2.7,27,1,2,100,100,21,27,8.400955,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,17.79996,25.7,2.7,27,1,2,100,100,21,27,8.501904,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,17.29996,25.7,2.7,27,1,2,100,100,21,27,8.600171,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,16.79996,25.7,2.7,27,1,2,100,100,21,27,8.700601,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,16.29996,25.7,2.7,27,1,2,100,100,21,27,8.800558,0
0,1,2,2,0,0.7075546,0.3085001,0.3085001,15,3,15.79996,25.7,2.7,27,1,2,100,100,21,27,8.901466,1
0,1,2,2,0,1.207554,0.3085001,0.3085001,15,3,15.29996,25.7,2.7,27,1,2,100,100,21,27,9.001436,1
0,1,2,2,0,1.707554,0.3085001,0.3085,15,3,14.79995,25.7,2.7,27,1,2,100,100,21,27,9.101322,1
