NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,27,7,15,23,0.1011301,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,27,7,15,23,0.2006191,0
0,1,2,2,0,0.7075546,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,7,15,23,0.3022422,1
0,1,2,2,0,1.207554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,7,15,23,0.4010516,1
0,1,2,2,0,1.707554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,7,15,23,0.5018223,1
0,1,2,2,0,2.207553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,7,15,23,0.6020369,1
0,1,2,2,0,2.707553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,7,15,23,0.700726,1
0,1,2,2,0,3.207552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,7,15,23,0.8028001,1
0,1,2,2,0,3.707552,0.3085001,0.3085,15,3,3,27,27,27,1,2,27,7,15,23,0.9006634,1
0,1,2,2,0,4.207551,8.3085,0.3085001,15,3,3,27,27,27,1,2,27,7,15,23,1.001073,1
1,1,2,1,19.90756,4.707551,0.3085001,0.3075551,15,3,3,27,27,27,1,2,27,7,15,23,1.101796,1
1,1,2,1,19.40756,5.207551,0.3085001,0.3075551,15,3,3,27,27,27,1,2,27,7,15,23,1.203684,1
1,1,2,1,18.90756,5.707551,0.3085,0.3075551,15,3,3,27,27,27,1,2,27,7,15,23,1.300503,1
1,1,2,1,18.40756,6.207554,0.3085001,0.3075551,15,3,3,27,27,27,1,2,27,7,15,23,1.401153,1
1,1,2,1,17.90755,6.707556,0.3085001,0.3075551,15,3,3,27,27,27,1,2,27,7,15,23,1.500935,1
1,1,2,1,17.40755,7.207557,0.3085001,0.3075551,15,3,3,27,27,27,1,2,27,7,15,23,1.600925,1
1,1,2,1,16.90755,7.70756,0.3085,0.3075551,15,3,3,27,27,27,1,2,27,7,15,23,1.700985,1
1,1,2,2,16.40755,8.207561,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,7,15,23,1.801154,1
1,1,2,2,15.90755,8.707563,0.3085,0.3085,15,3,3,27,27,27,1,2,27,7,15,23,1.900133,1
1,1,2,2,15.40755,9.207565,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,7,15,23,2.001809,1
1,1,2,2,14.90754,9.707567,0.3085001,0.3085001,15,3,2.7,27,27.3,27,1,2,27,7,15,23,2.100241,1
1,1,2,1,14.40754,10.20757,0.3085001,8.307555,15,3,2.7,27,27.3,27,1,2,27,7,15,23,2.201646,1
1,1,2,2,13.90754,10.70757,0.3085001,0.3085001,15,3,2.7,27,27.3,27,1,2,27,7,15,23,2.301039,1
1,1,2,2,13.40754,11.20757,0.3085001,0.3085001,15,3,2.7,27,27.3,27,1,2,27,7,15,23,2.400761,1
1,1,2,2,12.90753,11.70757,0.3085001,0.3085,15,3,2.7,27,27.3,27,1,2,27,7,15,23,2.501124,1
1,1,2,2,12.40753,12.20758,0.3085001,0.3085001,15,3,2.7,27,27.3,27,1,2,27,7,15,23,2.600444,1
1,1,2,2,11.90753,12.70758,0.3085001,0.3085001,15,3,2.7,27,27.3,27,1,2,27,7,15,23,2.700625,1
1,1,2,2,11.40753,13.20758,0.3085001,0.3085001,15,3,2.7,27,27.3,27,1,2,27,7,15,23,2.80016,1
1,1,2,2,10.90753,13.70758,0.3085001,0.3085001,15,3,2.7,27,27.3,27,1,2,27,7,15,23,2.901513,1
1,1,1,1,10.40753,14.20758,2.307555,8.307554,15,3,2.7,27,27.3,27,1,2,27,7,15,23,3.000422,1
1,1,2,2,9.907525,14.70759,0.3085001,0.3085001,15,3,2.7,27,27.3,27,1,2,27,7,15,23,3.101745,1
1,1,2,2,9.407523,15.20759,0.3085001,0.3085001,15,3,2.7,27,27.3,27,1,2,27,7,15,23,3.200315,1
1,1,2,2,8.907521,15.70759,0.3085001,0.3085,15,3,2.7,27,27.3,27,1,2,27,7,15,23,3.300584,1
1,1,2,2,8.407519,16.20759,0.3085001,0.3085001,15,3,2.7,27,27.3,27,1,2,27,7,15,23,3.400907,1
1,1,2,2,7.907517,16.70759,0.3085001,0.3085001,15,3,2.7,27,27.3,27,1,2,27,7,15,23,3.500994,1
1,1,2,2,7.407516,17.2076,0.3085001,0.3085001,15,3,2.7,27,27.3,27,1,2,27,7,15,23,3.600563,1
1,1,2,2,6.907513,17.7076,0.3085001,0.3085,15,3,2.7,27,27.3,27,1,2,27,7,15,23,3.700531,1
1,1,2,2,6.407511,18.2076,0.3085001,0.3085001,15,3,2.7,27,27.3,27,1,2,27,7,15,23,3.800122,1
1,1,2,2,5.90751,18.7076,0.3085001,0.3085001,15,3,2.7,27,27.3,27,1,2,27,7,15,23,3.901291,1
1,1,2,2,5.407508,19.2076,0.3085001,0.3085001,15,3,2.7,27,27.3,27,1,2,27,7,15,23,4.001482,1
1,1,2,2,4.907506,19.7076,0.3085001,0.3085001,15,3,2.7,27,26.8,27,1,2,27,7,15,23,4.100698,1
1,0,2,2,4.407504,0,0.3085001,0.3085001,15,3,2.7,27,26.3,27,1,2,27,7,15,23,4.201379,1
1,0,2,2,3.907502,0,0.3085,0.3085,15,3,2.7,27,25.8,27,1,2,27,7,15,23,4.300159,1
1,0,2,2,3.4075,0,0.3085001,0.3085001,15,3,2.7,27,25.29999,27,1,2,27,7,15,23,4.400903,1
1,0,2,2,2.907498,0,0.3085001,0.3085001,15,3,2.7,27,24.79999,27,1,2,27,7,15,23,4.50036,1
1,0,2,2,2.407496,0,0.3085001,0.3085001,15,3,2.7,27,24.29999,27,1,2,27,7,15,23,4.601456,1
1,0,2,2,1.907494,0,0.3085,0.3085,15,3,2.7,27,23.79999,27,1,2,27,7,15,23,4.70067,1
1,0,2,2,1.407493,0,0.3085001,0.3085001,15,3,2.7,27,23.29999,27,1,2,27,7,15,23,4.801389,1
1,0,2,2,0.9074906,0,0.3085001,0.3085001,15,3,2.7,27,22.79998,27,1,2,27,7,15,23,4.900591,1
1,0,5,6,0.4074887,0,7.528542,6.957749,15,3,2.7,27,22.29998,27,1,2,27,7,15,23,5.000273,1
1,0,5,6,0.007487177,0,6.728542,6.957749,15,3,2.7,27,21.79998,27,1,2,27,7,15,23,5.100698,1
1,0,5,6,0.007487177,0,5.928543,6.957749,15,3,2.7,27,21.29998,27,1,2,27,7,15,23,5.200214,0
1,0,5,6,0.2074879,0,5.128544,6.957749,15,3,2.7,27,20.79998,27,1,2,27,7,15,23,5.300517,2
1,0,2,2,0.7074898,0,0.3085001,0.3085001,15,3,2.7,27,20.29997,27,1,2,27,7,15,23,5.400065,2
1,0,2,2,1.207492,0,0.3085001,0.3085001,15,3,2.7,27,19.79997,27,1,2,27,7,15,23,5.500474,2
1,0,2,2,1.707494,0,0.3085001,0.3085001,15,3,2.7,27,19.29997,27,1,2,27,7,15,23,5.600448,2
1,0,2,2,2.207496,0,0.3085001,0.3085001,15,3,2.7,27,18.79997,27,1,2,27,7,15,23,5.700277,2
1,0,2,2,2.707498,0,0.3085001,0.3085001,15,3,2.7,27,18.29997,27,1,2,27,7,15,23,5.800354,2
1,0,2,2,3.2075,0,0.3085001,0.3085001,15,3,2.7,27,17.79996,27,1,2,27,7,15,23,5.901048,2
5,0,2,2,2.218397,0,0.3085001,0.3085001,15,3,2.7,27,17.29996,27,1,2,27,7,15,23,6.00068,2
5,0,2,2,2.718399,0,0.3085001,0.3085001,15,3,2.7,26.5,17.79996,27,1,2,27,7,15,23,6.101308,2
5,1,2,2,3.218401,19.9076,0.3085001,0.3085001,15,3,2.7,26,18.29997,27,1,2,27,7,15,23,6.201204,2
1,1,2,2,5.207507,19.4076,0.3085001,0.3085001,15,3,2.7,25.49999,18.79997,27,1,2,27,7,15,23,6.300937,2
1,1,2,2,5.707509,18.9076,0.3085001,0.3085001,15,3,2.7,24.99999,19.29997,27,1,2,27,7,15,23,6.401385,2
1,1,2,2,6.20751,18.4076,0.3085001,0.3085001,15,3,2.7,24.49999,19.79997,27,1,2,27,7,15,23,6.500322,2
1,1,2,2,6.707512,17.9076,0.3085001,0.3085001,15,3,2.7,23.99999,20.29997,27,1,2,27,7,15,23,6.601088,2
1,1,2,2,7.207514,17.4076,0.3085001,0.3085001,15,3,2.7,23.49999,20.79998,27,1,2,27,7,15,23,6.702716,2
1,1,2,2,7.707517,16.90759,0.3085,0.3085,15,3,2.7,22.99998,21.29998,27,1,2,27,7,15,23,6.800263,2
1,1,2,2,8.207519,16.40759,0.3085001,0.3085001,15,3,2.7,22.49998,21.79998,27,1,2,27,7,15,23,6.901234,2
1,1,2,2,8.70752,15.90759,0.3085001,0.3085001,15,3,2.7,21.99998,22.29998,27,1,2,27,7,15,23,7.001885,2
1,1,2,2,9.207522,15.40759,0.3085001,0.3085001,15,3,2.7,21.49998,22.79998,27,1,2,27,7,15,23,7.100658,2
1,1,2,2,9.707524,14.90759,0.3085001,0.3085001,15,3,2.7,20.99998,23.29999,27,1,2,27,7,15,23,7.201025,2
1,1,1,5,10.20753,14.40758,2.307555,7.112611,15,3,2.7,20.49998,23.79999,27,1,2,27,7,15,23,7.302148,2
1,1,2,2,10.70753,13.90758,0.3085001,0.3085001,15,3,2.7,19.99997,24.29999,27,1,2,27,7,15,23,7.401449,2
1,1,2,2,11.20753,13.40758,0.3085001,0.3085001,15,3,2.7,19.49997,24.79999,27,1,2,27,7,15,23,7.501717,2
1,1,2,2,11.70753,12.90758,0.3085,0.3085,15,3,2.7,18.99997,25.29999,27,1,2,27,7,15,23,7.60181,2
1,1,2,2,12.20753,12.40758,0.3085001,0.3085001,15,3,2.7,18.49997,25.8,27,1,2,27,7,15,23,7.701282,2
1,1,2,2,12.70753,11.90757,0.3085001,0.3085,15,3,2.7,17.99997,26.3,27,1,2,27,7,15,23,7.801317,2
1,1,2,2,13.20754,11.40757,0.3085001,0.3085001,15,3,2.7,17.49996,26.8,27,1,2,27,7,15,23,7.900728,2
1,1,2,2,13.70754,10.90757,0.3085,0.3085001,15,3,2.7,16.99996,27.3,27,1,2,27,7,15,23,8.002714,2
1,1,2,1,14.20754,10.40757,0.3085001,8.307555,15,3,2.7,16.99996,27.3,26.5,1,2,27,7,15,23,8.100898,2
1,1,2,2,14.70754,9.907567,0.3085001,0.3085001,15,3,2.7,16.99996,27.3,26,1,2,27,7,15,23,8.200373,2
1,1,2,2,15.20755,9.407565,0.3085001,0.3085001,15,3,2.7,16.99996,27.3,25.49999,1,2,27,7,15,23,8.301343,2
1,1,2,2,15.70755,8.907563,0.3085001,0.3085001,15,3,2.7,16.99996,27.3,24.99999,1,2,27,7,15,23,8.401475,2
1,1,2,2,16.20755,8.407561,0.3085001,0.3085001,15,3,2.7,16.99996,27.3,24.49999,1,2,27,7,15,23,8.501333,2
1,1,2,1,16.70755,7.90756,0.3085001,0.3075551,15,3,2.7,16.99996,27.3,23.99999,1,2,27,7,15,23,8.603139,2
1,1,2,1,17.20755,7.407557,0.3085001,0.3075551,15,3,2.7,16.99996,27.3,23.49999,1,2,27,7,15,23,8.701547,2
1,1,2,1,17.70755,6.907555,0.3085001,0.3075551,15,3,2.7,16.99996,27.3,22.99998,1,2,27,7,15,23,8.8012,2
1,1,2,1,18.20756,6.407553,0.3085001,0.3075551,15,3,2.7,16.99996,27.3,22.49998,1,2,27,7,15,23,8.900379,2
1,1,2,1,18.70756,5.907551,0.3085001,0.3075551,15,3,2.7,16.99996,27.3,21.99998,1,2,27,7,15,23,9.001484,2
1,1,2,1,19.20756,5.407549,0.3085001,0.3075551,15,3,2.7,16.99996,27.3,21.49998,1,2,27,7,15,23,9.10113,2
1,1,2,1,19.70756,4.90755,0.3085001,0.3075551,15,3,2.7,16.99996,27.3,20.99998,1,2,27,7,15,23,9.200919,2
0,1,2,2,0,4.40755,8.3085,0.3085001,15,3,2.7,16.99996,27.3,20.49998,1,2,27,7,15,23,9.301442,2
